,stop_id,stop_sequence,stop_name,stop_lat,stop_lon,lonlat,geometry
0,400087,1,W 146 ST/MALCOLM X BL,40.821178,-73.935956,"(-73.935956, 40.821178)",POINT (-73.935956 40.821178)
1,400088,2,MALCOLM X BL/W 145 ST,40.820359,-73.93646,"(-73.93646, 40.820359)",POINT (-73.93646 40.820359)
2,400089,3,MALCOLM X BL/W 142 ST,40.818247,-73.93800300000001,"(-73.93800300000001, 40.818247)",POINT (-73.93800300000001 40.818247)
3,404339,4,MALCOLM X BL/W 139 ST,40.816345,-73.939396,"(-73.939396, 40.816345)",POINT (-73.939396 40.816345)
4,404338,5,MALCOLM X BL/W 137 ST,40.81508,-73.940329,"(-73.940329, 40.81508)",POINT (-73.94032900000001 40.81508)
5,401069,6,MALCOLM X BL/W 135 ST,40.813711,-73.94131999999999,"(-73.94131999999999, 40.813711)",POINT (-73.94131999999999 40.813711)
6,401070,7,MALCOLM X BL/W 132 ST,40.811953,-73.942601,"(-73.942601, 40.811953)",POINT (-73.942601 40.811953)
7,404337,8,MALCOLM X BL/W 129 ST,40.810005,-73.944029,"(-73.944029, 40.810005)",POINT (-73.944029 40.810005)
8,404336,9,MALCOLM X BL/W 127 ST,40.808753,-73.944937,"(-73.944937, 40.808753)",POINT (-73.944937 40.808753)
9,803165,10,MALCOLM X BL/W 124 ST,40.807032,-73.946242,"(-73.946242, 40.807032)",POINT (-73.946242 40.807032)
10,401074,11,MALCOLM X BL/W 122 ST,40.805595000000004,-73.947252,"(-73.947252, 40.805595000000004)",POINT (-73.94725200000001 40.805595)
11,404978,12,MALCOLM X B / W 119 ST,40.803636,-73.948676,"(-73.948676, 40.803636)",POINT (-73.94867600000001 40.803636)
12,404274,13,W 116 ST/MALCOLM X BL,40.802292,-73.950025,"(-73.950025, 40.802292)",POINT (-73.950025 40.802292)
13,401078,14,W 116 ST/ST NICHOLAS AV,40.803561,-73.953097,"(-73.953097, 40.803561)",POINT (-73.953097 40.803561)
14,401079,15,W 116 ST/FRED DOUGLASS BL,40.804421000000005,-73.955141,"(-73.955141, 40.804421000000005)",POINT (-73.955141 40.804421)
15,400482,16,MANHATTAN AV/W 116 ST,40.804751,-73.957121,"(-73.957121, 40.804751)",POINT (-73.957121 40.804751)
16,400483,17,MANHATTAN AV/W 114 ST,40.803829,-73.957789,"(-73.957789, 40.803829)",POINT (-73.95778900000001 40.803829)
17,400484,18,MANHATTAN AV/W 112 ST,40.802215999999994,-73.958968,"(-73.958968, 40.802215999999994)",POINT (-73.958968 40.80221599999999)
18,403392,19,MANHATTAN AV/CATHEDRAL PY,40.800882,-73.95994,"(-73.95994, 40.800882)",POINT (-73.95994 40.800882)
19,401084,20,MANHATTAN AV/W 108 ST,40.799754,-73.960764,"(-73.960764, 40.799754)",POINT (-73.960764 40.799754)
20,401085,21,MANHATTAN AV/W 106 ST,40.798802,-73.96145899999999,"(-73.96145899999999, 40.798802)",POINT (-73.96145899999999 40.798802)
21,401086,22,COLUMBUS AV/W 106 ST,40.798915,-73.963235,"(-73.963235, 40.798915)",POINT (-73.963235 40.798915)
22,401087,23,COLUMBUS AV/W 102 ST,40.797415,-73.96432,"(-73.96432, 40.797415)",POINT (-73.96432 40.797415)
23,401088,24,COLUMBUS AV/W 100 ST,40.795065,-73.966047,"(-73.966047, 40.795065)",POINT (-73.966047 40.795065)
24,403362,25,COLUMBUS AV/W 97 ST,40.793273,-73.967359,"(-73.967359, 40.793273)",POINT (-73.967359 40.793273)
25,401090,26,COLUMBUS AV/W 94 ST,40.791289,-73.96879,"(-73.96879, 40.791289)",POINT (-73.96879 40.791289)
26,401091,27,COLUMBUS AV/W 92 ST,40.790024,-73.969719,"(-73.969719, 40.790024)",POINT (-73.969719 40.790024)
27,401092,28,COLUMBUS AV/W 89 ST,40.788158,-73.971085,"(-73.971085, 40.788158)",POINT (-73.971085 40.788158)
28,401093,29,COLUMBUS AV/W 86 ST,40.786184999999996,-73.97253,"(-73.97253, 40.786184999999996)",POINT (-73.97253000000001 40.786185)
29,401094,30,COLUMBUS AV/W 84 ST,40.784895,-73.973466,"(-73.973466, 40.784895)",POINT (-73.973466 40.784895)
30,404838,31,COLUMBUS AV/W 80 ST,40.782804,-73.974976,"(-73.974976, 40.782804)",POINT (-73.974976 40.782804)
31,401096,32,COLUMBUS AV/W 78 ST,40.780996,-73.976309,"(-73.976309, 40.780996)",POINT (-73.976309 40.780996)
32,403372,33,COLUMBUS AV/W 75 ST,40.778875,-73.977858,"(-73.977858, 40.778875)",POINT (-73.977858 40.778875)
33,401099,34,COLUMBUS AV/W 72 ST,40.777085,-73.97916,"(-73.97916, 40.777085)",POINT (-73.97915999999999 40.777085)
34,401100,35,COLUMBUS AV/W 69 ST,40.775251000000004,-73.980548,"(-73.980548, 40.775251000000004)",POINT (-73.980548 40.775251)
35,405283,36,COLUMBUS AV/W 66 ST,40.773394,-73.98180699999999,"(-73.98180699999999, 40.773394)",POINT (-73.98180699999999 40.773394)
36,400858,37,BROADWAY/W 64 ST,40.771797,-73.982364,"(-73.982364, 40.771797)",POINT (-73.982364 40.771797)
37,400860,38,BROADWAY/W 61 ST,40.76947,-73.982326,"(-73.982326, 40.76947)",POINT (-73.982326 40.76947)
38,903233,39,COL circle- does not stop,40.768057,-73.982525,"(-73.982525, 40.768057)",POINT (-73.982525 40.768057)
39,400861,40,COLUMBUS CIR/8 AV,40.767676,-73.982261,"(-73.982261, 40.767676)",POINT (-73.98226099999999 40.767676)
40,403781,41,CENTRAL PK S/COLUMBUS CI,40.767567,-73.98098900000001,"(-73.98098900000001, 40.767567)",POINT (-73.98098900000001 40.767567)
41,405291,42,7 AV/W 57 ST,40.765727000000005,-73.980083,"(-73.980083, 40.765727000000005)",POINT (-73.98008299999999 40.76572700000001)
42,400950,43,7 AV/W 54 ST,40.763718,-73.98140500000001,"(-73.98140500000001, 40.763718)",POINT (-73.98140500000001 40.763718)
43,400951,44,7 AV/W 53 ST,40.762793,-73.98213100000001,"(-73.98213100000001, 40.762793)",POINT (-73.98213100000001 40.762793)
44,403797,45,7 AV/W 50 ST,40.760853000000004,-73.983568,"(-73.983568, 40.760853000000004)",POINT (-73.98356800000001 40.760853)
45,404153,46,7 AV/W 41 ST,40.755484,-73.987378,"(-73.987378, 40.755484)",POINT (-73.98737800000001 40.755484)
46,401358,47,7 AV/W 39 ST,40.753838,-73.988677,"(-73.988677, 40.753838)",POINT (-73.988677 40.753838)
47,401359,48,7 AV/W 37 ST,40.752568,-73.989494,"(-73.989494, 40.752568)",POINT (-73.98949399999999 40.752568)
48,401360,49,7 AV/W 34 ST,40.750627,-73.99101999999999,"(-73.99101999999999, 40.750627)",POINT (-73.99101999999999 40.750627)
49,401361,50,7 AV/W 31 ST,40.74886,-73.99230899999999,"(-73.99230899999999, 40.74886)",POINT (-73.99230899999999 40.74886)
50,401363,51,7 AV/W 28 ST,40.747035,-73.99363699999999,"(-73.99363699999999, 40.747035)",POINT (-73.99363699999999 40.747035)
51,401364,52,7 AV/W 25 ST,40.745177000000005,-73.99499399999999,"(-73.99499399999999, 40.745177000000005)",POINT (-73.99499399999999 40.74517700000001)
52,404244,53,7 AV/W 23 ST,40.743812,-73.995983,"(-73.995983, 40.743812)",POINT (-73.995983 40.743812)
53,401366,54,7 AV/W 20 ST,40.742028000000005,-73.997286,"(-73.997286, 40.742028000000005)",POINT (-73.997286 40.742028)
54,803232,55,W 16 ST/7 AV,40.739618,-73.99821700000001,"(-73.99821700000001, 40.739618)",POINT (-73.99821700000001 40.739618)
55,803231,56,6 AV/W 17 ST,40.739429,-73.995249,"(-73.995249, 40.739429)",POINT (-73.995249 40.739429)
